job_id	run_type	run_time	cpus	cores_threads	core_utilization	core_walltime	percent_core_efficiency	gb_memory_used
9472786	container	00:42:47	8	64	04:40:15	05:42:16	81.88	23.93
9472785	host	00:40:44	8	64	04:35:11	05:25:52	84.45	23.56
9471869	container	00:42:14	8	64	04:32:42	05:37:52	80.71	20.40
9471868	host	00:41:40	8	64	04:37:28	05:33:20	83.24	21.63
9470489	container	00:42:26	8	64	04:36:42	05:39:28	81.51	25.86
9470488	host	00:41:47	8	64	04:35:01	05:34:16	82.27	25.64
9469935	host	00:40:52	8	64	04:32:28	05:26:56	83.34	25.14
9469936	container	00:40:01	8	64	04:17:11	05:20:08	80.34	25.78
9466633	container	00:43:40	8	64	04:39:41	05:49:20	80.06	23.60
9466637	host	00:42:38	8	64	04:40:15	05:41:04	82.17	24.00
9509007	container	00:46:27	8	8	04:34:10	06:11:36	73.78	22.95
9509006	host	00:45:06	8	8	04:30:20	06:00:48	74.93	26.22
9511044	container	00:45:17	8	8	04:31:15	06:02:16	74.88	24.12
9511045	host	00:45:12	8	8	04:32:16	06:01:36	75.29	25.51
9511047	container	00:45:09	8	8	04:33:20	06:01:12	75.67	22.61
9511048	host	00:45:53	8	8	04:34:22	06:07:04	74.75	22.83
9514416	container	00:44:41	8	8	04:29:37	05:57:28	75.42	25.55
9514417	host	00:42:32	8	8	04:24:08	05:40:16	77.63	26.29
9514459	host	00:44:42	8	8	04:27:31	05:57:36	74.81	16.84
9514456	container	00:45:35	8	8	04:33:18	06:04:40	74.95	21.30
