job_id	run_type	run_time	cpus	cores_threads	core_utilization	core_walltime	percent_core_efficiency	gb_memory_used
9455903	container	00:45:40	8	64	05:05:19	06:05:20	83.57	42.83
9455904	host	00:45:10	8	64	05:00:28	06:01:20	83.15	40.57
9450125	container	00:50:37	8	64	05:43:33	06:44:56	84.84	41.62
9450126	host	00:44:53	8	64	04:57:48	05:59:04	82.94	42.01
9449942	container	00:46:29	8	64	05:10:53	06:11:52	83.60	42.16
9449941	host	00:45:07	8	64	04:59:36	06:00:56	83.01	40.56
9449370	host	00:48:49	8	64	04:59:04	06:30:32	76.58	44.96
9449371	container	00:48:33	8	64	04:58:19	06:28:24	76.81	44.20
9448953	container	00:52:15	8	64	05:55:53	06:58:00	85.14	41.59
9448954	host	00:45:07	8	64	05:00:19	06:00:56	83.21	45.81
9433764	host	00:52:02	8	64	05:53:10	06:56:16	84.84	41.08
9433763	container	00:51:55	8	64	05:51:23	06:55:20	84.60	43.39
