COMMAND	ELAPSED_TIME_HMS	AVERAGE_MEM	FS_INPUTS	MAX_RES_SIZE_KB	FS_OUTPUTS	PERC_CPU_ALLOCATED	CPU_SECONDS_USED	W_TIMES_SWAPPED	SHARED_TEXT_KB	ELAPSED_TIME_SECONDS	NUMBER_SIGNALS_DELIVERED	AVG_UNSHARED_STACK_SIZE	SOCKET_MSG_RECEIVED	SOCKET_MSG_SENT	AVG_RESIDENT_SET_SIZE	CONTEXT_SWITCHES
bash /home/ubuntu/singularity-scientific-example/scripts/1.download_data.sh /scratch/data	1:02:54	0	18152	5468	169900088	68%	2452.99	0	0	3774.37	0	0	0	0	0	2031927
bash /home/ubuntu/singularity-scientific-example/scripts/2.simulate_reads.sh /scratch/data	1:34:50	0	32216	2069316	73400000	99%	5007.76	0	0	5690.19	0	0	0	0	0	1478
bash /home/ubuntu/singularity-scientific-example/scripts/3.generate_transcriptome_index.sh /scratch/data	7:31.79	0	30152	5130532	5473864	99%	448.02	0	0	451.79	0	0	0	0	0	147
bash /home/ubuntu/singularity-scientific-example/scripts/4.quantify_transcripts.sh /scratch/data 16	15:31.59	0	8634824	5410584	5469984	1323%	12279.46	0	0	931.59	0	0	0	0	0	358969
bash /home/ubuntu/singularity-scientific-example/scripts/5.bwa_index.sh /scratch/data	1:03:43	0	8280	4546116	16649240	99%	3777.04	0	0	3823.42	0	0	0	0	0	14222
bash /home/ubuntu/singularity-scientific-example/scripts/6.bwa_align.sh /scratch/data	1:22:58	0	13472	12478428	24285696	1575%	78293.70	0	0	4978.42	0	0	0	0	0	6931689
bash /home/ubuntu/singularity-scientific-example/scripts/7.prepare_rtg_run.sh /scratch/data	1:01.09	0	65064	843056	2270800	102%	61.14	0	0	61.09	0	0	0	0	0	13233
bash /home/ubuntu/singularity-scientific-example/scripts/8.map_trio.sh /scratch/data 32g 8	41:31.11	0	23597880	29493484	99025440	702%	17311.88	0	0	2491.11	0	0	0	0	0	26415995
bash /home/ubuntu/singularity-scientific-example/scripts/9.family_call_variants.sh /scratch/data 32g 8	52:04.86	0	77360	13701492	643120	635%	19760.54	0	0	3124.86	0	0	0	0	0	13078969
bash /code/scripts/1.download_data.sh /scratch/data	1:13:21	15093736	0	5060	169900288	60%	2454.53	0	0	4401.96	0	0	0	0	0	2399076
bash /code/scripts/2.simulate_reads.sh /scratch/data	1:35:10	3345064	0	2070436	73399688	99%	4990.35	0	0	5710.66	0	0	0	0	0	1589
bash /code/scripts/3.generate_transcriptome_index.sh /scratch/data	7:32.20	3792	0	5131756	5473864	99%	448.33	0	0	452.20	0	0	0	0	0	46
bash /code/scripts/4.quantify_transcripts.sh /scratch/data 4	27:32.86	7627672	0	4205932	5469960	382%	6286.80	0	0	1652.86	0	0	0	0	0	44757
bash /code/scripts/5.bwa_index.sh /scratch/data	1:03:16	512	0	4546164	16649232	99%	3750.18	0	0	3796.48	0	0	0	0	0	20137
bash /code/scripts/6.bwa_align.sh /scratch/data	1:22:55	4854152	0	12477360	24285488	1576%	78241.30	0	0	4975.95	0	0	0	0	0	3910360
bash /code/scripts/7.prepare_rtg_run.sh /scratch/data	1:03.66	1328	0	828260	2270784	102%	63.80	0	0	63.66	0	0	0	0	0	12434
bash /code/scripts/8.map_trio.sh /scratch/data 32g 8	46:17.27	21922392	0	29504604	99032808	709%	19272.10	0	0	2777.27	0	0	0	0	0	26431564
bash /code/scripts/9.family_call_variants.sh /scratch/data 32g 8	51:55.41	10153680	0	12193100	643128	638%	19757.23	0	0	3115.41	0	0	0	0	0	12995379
