COMMAND	ELAPSED_TIME_HMS	FS_INPUTS	MAX_RES_SIZE_KB	FS_OUTPUTS	PERC_CPU_ALLOCATED	CPU_SECONDS_USED	W_TIMES_SWAPPED	SHARED_TEXT_KB	ELAPSED_TIME_SECONDS	NUMBER_SIGNALS_DELIVERED	AVG_UNSHARED_STACK_SIZE	SOCKET_MSG_RECEIVED	SOCKET_MSG_SENT	AVG_RESIDENT_SET_SIZE	CONTEXT_SWITCHES
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/1.download_data.sh /scratch/data	2:26:31	0	21668	0	0%	16.88	0	0	8791.10	0	0	0	0	0	1740424
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/2.simulate_reads.sh /scratch/data	1:35:52	512	21928	0	0%	0.21	0	0	5752.70	0	0	0	0	0	2755
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/3.generate_transcriptome_index.sh /scratch/data	10:45.95	128	20024	0	0%	0.03	0	0	645.95	0	0	0	0	0	1077
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/4.quantify_transcripts.sh /scratch/data 4	34:53.61	0	19968	0	0%	0.08	0	0	2093.61	0	0	0	0	0	1531
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/5.bwa_index.sh /scratch/data	1:31:26	0	19760	0	0%	0.18	0	0	5486.44	0	0	0	0	0	2583
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/6.bwa_align.sh /scratch/data	2:22:40	0	17684	0	0%	0.32	0	0	8560.53	0	0	0	0	0	6768
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/7.prepare_rtg_run.sh /scratch/data	1:21.30	520	16064	0	0%	0.02	0	0	81.30	0	0	0	0	0	550
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/8.map_trio.sh /scratch/data 32g 8	1:30:03	0	19080	0	0%	0.28	0	0	5403.61	0	0	0	0	0	3435
docker run -v /scratch/data:/scratch/data vanessa/singularity-scientific-example bash /code/scripts/9.family_call_variants.sh /scratch/data 32g 8	1:17:28	912	20100	0	0%	0.26	0	0	4648.92	0	0	0	0	0	2806
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/1.download_data.sh /scratch/data	1:53:29	19441338	5448	169900280	47%	3002.92	0	0	6809.75	0	0	0	0	0	1471023
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/2.simulate_reads.sh /scratch/data	2:00:17	41474	2071160	73398944	99%	6305.06	0	0	7217.09	0	0	0	0	0	1637
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/3.generate_transcriptome_index.sh /scratch/data	15:10.32	643770	5130968	5473888	99%	901.28	0	0	910.32	0	0	0	0	0	243
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/4.quantify_transcripts.sh /scratch/data 4	45:23.87	20763578	4203360	5468560	382%	10381.02	0	0	2723.87	0	0	0	0	0	50597
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/5.bwa_index.sh /scratch/data	1:50:15	558450	4546180	16649264	98%	6466.78	0	0	6615.58	0	0	0	0	0	26971
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/6.bwa_align.sh /scratch/data	2:44:38	10679538	10720424	24286064	1187%	116918.72	0	0	9878.10	0	0	0	0	0	13404792
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/7.prepare_rtg_run.sh /scratch/data	1:05.94	73338	930840	2270816	111%	62.57	0	0	65.94	0	0	0	0	0	10483
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/8.map_trio.sh /scratch/data 32g 8	1:26:41	23934826	29964472	99093272	706%	36067.45	0	0	5201.58	0	0	0	0	0	26642877
singularity exec -B /scratch/data analysis.img bash /home/vanessa/singularity-scientific-example/scripts/9.family_call_variants.sh /scratch/data 32g 8	1:17:03	19473474	12993348	645264	645%	29526.53	0	0	4623.13	0	0	0	0	0	14284346
