	HASH	FILE	ENV	RUN	SOFTWARE
cloud-gce-singularity	5af39e216b7fe8959553818ed53dbba9	RTG/container.HG002/index_files/rtg.css	cloud-gce	1	singularity
cloud-gce-singularity	a1756fd4fc5fa73f74437a11f5cb02d2	RTG/container.HG002/index_files/Alignment-Score-Distribution-(Unmated-Only).png	cloud-gce	1	singularity
cloud-gce-singularity	d895aa5fb1f18640abb64f091709f0f3	RTG/container.HG002/index_files/Mapping-Quality-(MAPQ)-Distribution.png	cloud-gce	1	singularity
cloud-gce-singularity	9d3273cf21e48fa5095c4a0991015198	RTG/container.HG002/index_files/Alignment-Score-Distribution-(Mated-Only).png	cloud-gce	1	singularity
cloud-gce-singularity	15a1f3502f07d3d12b9979a171c70f8f	RTG/container.HG002/index_files/Fragment-Length-Distribution.png	cloud-gce	1	singularity
cloud-gce-singularity	5f8da56f2cd3dea05e15be5d55fea548	RTG/container.HG002/index_files/rtg_logo.png	cloud-gce	1	singularity
cloud-gce-singularity	014e0698a030553b00c982bb8dd0208c	RTG/container.HG002/alignments.bam	cloud-gce	1	singularity
cloud-gce-singularity	af50efbb4a3c79a899f7f02958ed9dd2	RTG/container.HG002/alignments.bam.bai	cloud-gce	1	singularity
cloud-gce-singularity	6d503f5f946f5b8562d5f416e5daacff	RTG/container.HG002/progress	cloud-gce	1	singularity
cloud-gce-singularity	e8f9ecea5cb536c70a1f9cff71f18345	RTG/container.HG002/rgstats.tsv	cloud-gce	1	singularity
cloud-gce-singularity	94a20f42000d378ad7f38629be9d745c	RTG/container.HG002/map.log	cloud-gce	1	singularity
cloud-gce-singularity	2a9b3768cd14c68d2b7ed426cac3b3db	RTG/container.HG002/alignments.bam.calibration	cloud-gce	1	singularity
cloud-gce-singularity	24a7d09f9748fed67b9767fca056ecc0	RTG/container.HG002/reportdata.tsv	cloud-gce	1	singularity
cloud-gce-singularity	b23370ac0e4cd1a3afff14b2a6529c0a	RTG/container.HG002/done	cloud-gce	1	singularity
cloud-gce-singularity	6247f284fb582a8528eb8c35220c4e0e	RTG/container.HG002/summary.txt	cloud-gce	1	singularity
cloud-gce-singularity	bf83b393c00ea3aa4b5d5b14a3162ead	RTG/container.HG002/index.html	cloud-gce	1	singularity
cloud-gce-singularity	f682b3291dd57d1c92cfd58bf05db53f	RTG/HG004.2.10M.fastq.gz	cloud-gce	1	singularity
cloud-gce-singularity	40e47a6000ec5e6bcf5612bb92801896	RTG/HG003.2.10M.fastq.gz	cloud-gce	1	singularity
cloud-gce-singularity	338a1ce1e3dd97ad197bfe41e94e72c4	RTG/container.trio/snps.vcf.gz	cloud-gce	1	singularity
cloud-gce-singularity	5af39e216b7fe8959553818ed53dbba9	RTG/container.trio/index_files/rtg.css	cloud-gce	1	singularity
cloud-gce-singularity	b99167b1a1f2f461a5b7a7c970749101	RTG/container.trio/index_files/table.css	cloud-gce	1	singularity
cloud-gce-singularity	5f8da56f2cd3dea05e15be5d55fea548	RTG/container.trio/index_files/rtg_logo.png	cloud-gce	1	singularity
cloud-gce-singularity	1dfc226dc6e77e4e4f8e00d7c29c241a	RTG/container.trio/regions.bed.gz	cloud-gce	1	singularity
cloud-gce-singularity	a14b3b5d579ae2eafe00c5867ab2955a	RTG/container.trio/family.log	cloud-gce	1	singularity
cloud-gce-singularity	9a756cc51212e496cd2935546c317024	RTG/container.trio/snps.vcf.gz.tbi	cloud-gce	1	singularity
cloud-gce-singularity	6d766a4b1da42f0dd3d35b21d60414d8	RTG/container.trio/progress	cloud-gce	1	singularity
cloud-gce-singularity	85bc5ae73467a858802aba720ea3a70b	RTG/container.trio/regions.bed.gz.tbi	cloud-gce	1	singularity
cloud-gce-singularity	14800c8b1b97b124ed81bb5a09c915d7	RTG/container.trio/done	cloud-gce	1	singularity
cloud-gce-singularity	c511059d439fdeb27686797c1d90b9c9	RTG/container.trio/summary.txt	cloud-gce	1	singularity
cloud-gce-singularity	0b511ad445dddd6dd03655696ca095c4	RTG/container.trio/index.html	cloud-gce	1	singularity
cloud-gce-singularity	52807e0d569962033f8a87470e373c18	RTG/HG004.1.10M.fastq.gz	cloud-gce	1	singularity
cloud-gce-singularity	5af39e216b7fe8959553818ed53dbba9	RTG/container.HG004/index_files/rtg.css	cloud-gce	1	singularity
cloud-gce-singularity	5fc8a32c64432b6923287cf8dadd9d8d	RTG/container.HG004/index_files/Alignment-Score-Distribution-(Unmated-Only).png	cloud-gce	1	singularity
cloud-gce-singularity	cc90abbe237aeffb12021c81f7c9ae15	RTG/container.HG004/index_files/Mapping-Quality-(MAPQ)-Distribution.png	cloud-gce	1	singularity
cloud-gce-singularity	62480330b760d1a957dfa4297aae3aa7	RTG/container.HG004/index_files/Alignment-Score-Distribution-(Mated-Only).png	cloud-gce	1	singularity
cloud-gce-singularity	8f26146a93b409ebf1a303ff13c26766	RTG/container.HG004/index_files/Fragment-Length-Distribution.png	cloud-gce	1	singularity
cloud-gce-singularity	5f8da56f2cd3dea05e15be5d55fea548	RTG/container.HG004/index_files/rtg_logo.png	cloud-gce	1	singularity
cloud-gce-singularity	d03158310ac7ec0f83e4510409c4ea28	RTG/container.HG004/alignments.bam	cloud-gce	1	singularity
