COMMAND	ELAPSED_TIME_HMS	AVERAGE_MEM	FS_INPUTS	MAX_RES_SIZE_KB	FS_OUTPUTS	PERC_CPU_ALLOCATED	CPU_SECONDS_USED	W_TIMES_SWAPPED	SHARED_TEXT_KB	ELAPSED_TIME_SECONDS	NUMBER_SIGNALS_DELIVERED	AVG_UNSHARED_STACK_SIZE	SOCKET_MSG_RECEIVED	SOCKET_MSG_SENT	AVG_RESIDENT_SET_SIZE	CONTEXT_SWITCHES
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/1.download_data.sh /scratch/data	22:23.85	0	14280	3268	100135872	29%	215.85	0	0	1343.85	0	0	0	0	0	2094571
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/2.simulate_reads.sh /scratch/data	3:05:48	0	26712	2067320	73619864	96%	4360.94	0	0	11148.17	0	0	0	0	0	30971
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/3.generate_transcriptome_index.sh /scratch/data	12:05.98	0	11312	5129028	5473904	99%	715.09	0	0	725.98	0	0	0	0	0	166
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/4.quantify_transcripts.sh /scratch/data	34:23.73	0	13024	4224412	5504888	385%	7749.44	0	0	2063.73	0	0	0	0	0	44510
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/5.bwa_index.sh /scratch/data	1:11:28	0	6712	4553224	16649784	99%	4258.26	0	0	4288.16	0	0	0	0	0	1563
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/6.bwa_align.sh /scratch/data	3:40:23	0	14328	7282832	24287016	398%	52553.60	0	0	13223.90	0	0	0	0	0	15167363
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/7.prepare_rtg_run.sh /scratch/data	0:56.45	0	63384	987692	2270840	102%	55.56	0	0	56.45	0	0	0	0	0	12808
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/8.map_trio.sh /scratch/data 32g 8	1:16:35	0	85176	28741260	99079576	371%	16880.65	0	0	4595.47	0	0	0	0	0	27437837
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/9.family_call_variants.sh /scratch/data 32g 8	1:14:28	0	75400	16645532	644584	349%	15466.38	0	0	4468.55	0	0	0	0	0	34683471
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/1.download_data.sh /scratch/data	23:19.10	0	14288	3272	100137096	28%	227.05	0	0	1399.10	0	0	0	0	0	2281980
bash /home/vsochat/SCRIPT/python/singularity-scientific-example/scripts/2.simulate_reads.sh /scratch/data	3:06:45	0	26712	2067316	73619952	98%	4465.24	0	0	11205.87	0	0	0	0	0	30074
